claim_id,date_of_incident,city,product_category,product_sku,problem_reported,claim_amount
C1001,2025-01-15,New York,Appliances,SKU-APP-NY-01,Refrigerator not cooling,1200
C1002,2025-01-18,Chicago,Electronics,SKU-ELEC-CH-01,Laptop screen cracked,450
C1003,2025-02-05,Houston,Furniture,SKU-FURN-HU-01,Sofa leg broken,300
C1004,2025-02-10,New York,Electronics,SKU-ELEC-NY-02,TV remote not working,50
C1005,2025-02-20,Austin,Appliances,SKU-APP-AU-01,Dishwasher leaking,600
C1006,2025-03-01,Miami,Furniture,SKU-FURN-MI-01,Bookshelf damaged,150
C1007,2025-03-05,Denver,Electronics,SKU-ELEC-DE-01,Smartphone overheating,800
C1008,2025-03-07,Portland,Electronics,SKU-ELEC-PO-01,Power surge damaged PC,1500
C1009,2025-03-12,Chicago,Appliances,SKU-APP-CH-02,Oven door shattered,700
C1010,2025-03-15,Austin,Electronics,SKU-ELEC-AU-02,Laptop battery failure,200
C1011,2025-04-02,Denver,Automotive,SKU-AUTO-DE-01,Flat tire,250
C1012,2025-04-10,New York,Furniture,SKU-FURN-NY-01,Table scratch,120
C1013,2025-04-22,Portland,Appliances,SKU-APP-PO-01,Ice maker broken,400
C1014,2025-05-01,Miami,Electronics,SKU-ELEC-MI-01,TV dead pixel,1100
C1015,2025-05-18,Chicago,Automotive,SKU-AUTO-CH-01,Engine knocking,3000
C2001,2025-05-20,Denver,Automotive,SKU-AUTO-DE-02,Windshield shattered,950
C2002,2025-05-20,Denver,Automotive,SKU-AUTO-DE-03,Severe body dents,3500
C2003,2025-05-20,Denver,Property,SKU-PROP-DE-01,Roof damage,15000
C2004,2025-05-21,Denver,Automotive,SKU-AUTO-DE-02,Rear window broken,800
C2005,2025-05-21,Denver,Automotive,SKU-AUTO-DE-01,Multiple body dents,2200
C2006,2025-05-21,Denver,Property,SKU-PROP-DE-02,Siding damaged,7000
C2007,2025-05-22,Denver,Automotive,SKU-AUTO-DE-03,Windshield cracked,750
C2008,2025-05-22,Denver,Automotive,SKU-AUTO-DE-01,Sunroof smashed,1800
C2009,2025-05-23,Denver,Automotive,SKU-AUTO-DE-02,Hood and roof dents,3100
C1016,2025-06-05,New York,Appliances,SKU-APP-NY-02,Washing machine spin cycle fail,550
C1017,2025-06-10,Austin,Furniture,SKU-FURN-AU-01,Desk damaged in move,220
C1018,2025-06-15,Miami,Automotive,SKU-AUTO-MI-01,AC not blowing cold,600
C1019,2025-07-01,Portland,Furniture,SKU-FURN-PO-01,Mattress sagging,800
C3001,2025-07-15,Austin,Electronics,SKU-ELEC-AU-03,PC fried,1700
C3002,2025-07-15,Austin,Electronics,SKU-ELEC-AU-01,TV won't turn on after outage,900
C3003,2025-07-16,Austin,Electronics,SKU-ELEC-AU-04,Smart speaker unresponsive,150
C3004,2025-07-16,Austin,Electronics,SKU-ELEC-AU-01,Modem dead,120
C3005,2025-07-16,Austin,Electronics,SKU-APP-AU-02,Smart fridge display blank,650
C3006,2025-07-17,Austin,Electronics,SKU-ELEC-AU-03,Power surge damage,1400
C1020,2025-07-20,Chicago,Electronics,SKU-ELEC-CH-02,Headphone jack broken,70
C1021,2025-08-01,Houston,Appliances,SKU-APP-HU-01,Microwave door latch broken,80
C1022,2025-08-05,Denver,Furniture,SKU-FURN-DE-01,Chair leg snapped,90
C1023,2025-08-15,New York,Electronics,SKU-ELEC-NY-01,Phone dropped in water,500
C4001,2025-09-05,Portland,Appliances,SKU-APP-PO-01,Water filter warning light,100
C4002,2025-09-05,Portland,Appliances,SKU-APP-PO-02,Ice maker clogged,220
C4003,2025-09-06,Portland,Appliances,SKU-APP-PO-01,Water dispenser low pressure,110
C4004,2025-09-06,Portland,Appliances,SKU-APP-PO-01,Filter failure,100
C4005,2025-09-07,Portland,Appliances,SKU-APP-PO-03,Strange taste from water,150
C1024,2025-09-10,Miami,Furniture,SKU-FURN-MI-02,Patio table rusted,350
C1025,2025-09-15,Austin,Automotive,SKU-AUTO-AU-01,Brake pads worn,450
C1026,2025-09-20,Chicago,Property,SKU-PROP-CH-01,Leaky pipe,1300
